"hitter_name","batter"
"Burnes, Corbin",669203
"Galloway, Isaac",543194
"Berti, Jon",542932
"Avelino, Abiatal",623214
"Dean, Austin",621573
"Alford, Anthony",546990
"Blanco, Grégor",453923
"Jansen, Danny",643376
"Norris, Daniel",596057
"Viloria, Meibrys",650619
"O'Brien, Peter",598284
"Mullins, Cedric",656775
"Reinheimer, Jack",595373
"Bostick, Christopher",607471
"Saltalamacchia, Jarrod",457454
"Laureano, Ramón",657656
"Adams, Lane",572669
"Herrera, Dilson",599096
"Canó, Robinson",429664
"Reyes, Pablo",622569
"Stewart, Christin",621514
"Petit, Gregorio",463610
"Lavarnway, Ryan",543432
"Fillmyer, Heath",641571
"Ward, Taylor",621493
"McKinney, Billy",641856
"Newman, Kevin",621028
"Brito, Sócrates",593647
"Vargas, Ildemaro",545121
"Vogelbach, Daniel",596129
"González, Gio",461829
"Stratton, Chris",608717
"Davis, Jonathan",641505
"Mitchell, Bryan",571951
"Walding, Mitch",605520
"Cordell, Ryan",641477
"Anderson, Tanner",664196
"Gallagher, Cam",595956
"Senzatela, Antonio",622608
"Hampson, Garrett",641658
"Castillo, Welington",456078
"Holliday, Matt",407812
"Barnes, Brandon",488681
"Trahan, Blake",664167
"Haase, Eric",606992
"Brigham, Jeff",656257
"Hamels, Cole",430935
"Shaw, Chris",622046
"Adduci, James",451192
"Gore, Terrance",605253
"Nola, Aaron",605400
"Alberto, Hanser",593643
"Montgomery, Mike",543557
"Hendricks, Kyle",543294
"Ryu, Hyun Jin",547943
"Rosales, Adam",489267
"Nix, Jacob",656798
"García, Adolis",666969
"Archer, Chris",502042
"Stewart, DJ",621466
"Nido, Tomás",621512
"Alcantara, Sandy",645261
"Wallach, Chad",595453
"Beckham, Gordon",493596
"Foltynewicz, Mike",592314
"Guerrero, Gabriel",602115
"Castillo, Luis",622491
"Urías, Luis",649966
"Gausman, Kevin",592332
"Anderson, Chase",502624
"Arcia, Francisco",516472
"Miley, Wade",489119
"Vargas, Jason",450306
"Ciuffo, Nick",624419
"Davies, Zach",605200
"Florimón, Pedro",465753
"Elías, Roenis",606273
"Castillo, Diego",650895
"Ortega, Rafael",542364
"Tucker, Preston",605512
"Rivera, René",425784
"Perez, Michael",605421
"Syndergaard, Noah",592789
"Rusin, Chris",543734
"Kennedy, Brett",664028
"Robinson, Shane",453203
"Newcomb, Sean",656794
"Erlin, Robbie",572362
"Ponce de Leon, Daniel",594965
"Peña, Félix",570240
"Gomber, Austin",596295
"Rodriguez, Jefry",622446
"Hellickson, Jeremy",476451
"Heaney, Andrew",571760
"Gerber, Mike",595222
"Fisher, Derek",605233
"Holmes, Clay",605280
"Butler, Dan",576788
"Garneau, Dustin",572863
"Sweeney, Darnell",572182
"Ramirez, Hanley",434670
"Cordero, Franchy",614173
"Headley, Chase",452104
"Cuthbert, Cheslor",596144
"Zimmer, Bradley",605548
"Castro, Jason",488771
"Cespedes, Yoenis",493316
"Velasquez, Vince",592826
"Sierra, Moisés",501213
"Alvarez, Pedro",476883
"Santander, Anthony",623993
"Seager, Corey",608369
"Cimber, Adam",643256
"Kendrick, Howie",435062
"Snelten, D.J.",592769
"Lobaton, Jose",446653
"Strasburg, Stephen",544931
"Centeno, Juan",518542
"Richard, Clayton",453385
"Stevenson, Andrew",664057
"Lagares, Juan",501571
"Telis, Tomás",542513
"Fulmer, Michael",605242
"Hutchison, Drew",571800
"Bandy, Jett",542908
"Maxwell, Bruce",622194
"Boyd, Matthew",571510
"Finnegan, Brandon",605232
"Blach, Ty",621389
"Gonzalez, Merandy",642571
"Peters, Dillon",596071
"Pennington, Cliff",460060
"García, Jarlín",606424
"Pivetta, Nick",601713
"Sardinas, Luis",596143
"McFarland, T.J.",519008
"Floro, Dylan",571670
"Gsellman, Robert",607229
"Wisler, Matt",605538
"Ngoepe, Gift",547912
"Webb, Tyler",643778
"Reynolds, Matt",608703
"Wainwright, Adam",425794
"Marjama, Mike",605357
"Suzuki, Ichiro",400085
"Lively, Ben",594902
"Nottingham, Jacob",641924
"Brice, Austin",592169
"Navarro, Efren",519068
"Gosselin, Phil",594838
"Buxton, Byron",621439
"Mayers, Mike",594577
"Mengden, Daniel",596043
"Lee, Braxton",657658
"Iglesias, Raisel",628452
"Schimpf, Ryan",572114
"Walker, Taijuan",592836
"d'Arnaud, Travis",518595
"Darvish, Yu",506433
"Chargois, JT",608638
"Rasmus, Colby",458675
"Powell, Boog",621471
"Odorizzi, Jake",543606
"Montero, Miguel",471083
"Cole, A.J.",595918
"Stewart, Chris",455755
"Gonzales, Marco",594835
"Johnson, Brian",598271
"Despaigne, Odrisamer",628333
"Winkler, Dan",595465
"Peterson, Tim",623402
"Kelly, Carson",608348
"Peterson, Dustin",640460
"Skole, Matt",605474
"Pedroia, Dustin",456030
"Urshela, Gio",570482
"Lugo, Seth",607625
"Happ, J.A.",457918
"Castro, Daniel",593495
"Gómez, Miguel",622497
"Duensing, Brian",488846
"García, Jaime",448802
"Chen, Wei-Yin",612672
"Jennings, Dan",543359
"Blevins, Jerry",460283
"Gaviglio, Sam",543208
"Cruz, Tony",488810
"Junis, Jakob",596001
"Bauer, Trevor",545333
"Hancock, Justin",606995
"Kennedy, Ian",453178
"Baron, Steven",571467
"Cloyd, Tyler",543031
"Woodruff, Brandon",605540
"Santiago, Héctor",502327
"López, Reynaldo",625643
"Stephens, Jackson",623451
"Zagunis, Mark",657145
"Peralta, Freddy",642547
"Giolito, Lucas",608337
"Locastro, Tim",641796
"Carrasco, Carlos",471911
"Pompey, Dalton",592647
"Franklin, Nick",545338
"Conlon, P.J.",664869
"Vielma, Engelb",622713
"Rodríguez, Richard",593144
"Morton, Charlie",450203
"Bautista, Rafael",622441
"Shields, James",448306
"Mejía, Adalberto",606167
"López, Pablo",641154
"Fried, Max",608331
"Severino, Luis",622663
"Hernandez, Elieser",622694
"Meyer, Ben",656738
"Clevinger, Mike",605182
"Bundy, Dylan",605164
"Wright Jr., Mike",605541
"Brault, Steven",643230
"Kelley, Shawn",518875
"Hess, David",605276
"Joseph, Corban",543377
"Strahm, Matt",621381
"Ferguson, Caleb",657571
"Shipley, Braden",640463
"Báez, Pedro",520980
"Hudson, Daniel",543339
"Domínguez, Seranthony",622554
"Jackson, Luke",592426
"Lockett, Walker",621141
"De La Rosa, Jorge",407822
"Rhame, Jacob",642008
"Allard, Kolby",663465
"Reed, Michael",605439
"Suárez, Ranger",624133
"Davis, Austin",656354
"den Dekker, Matthew",544925
"Norwood, James",656803
"Suero, Wander",593833
