name,pitcher,pitches,hand,fastball,avg_velo,max_velo,offspeed_rate,primary_offspeed,avg_rel_ext,release_angle_ground
Aroldis Chapman,547973,679,L,FF,98.768700265252,103.4,0.3946980854197349,SL,7.1759941089838,83.87511828675962
Brad Hand,543272,816,L,FF,91.25409836065573,94.2,0.5208333333333334,SL,5.623774509803922,69.58444998244195
Tim Hill,657612,745,L,FT,90.11756097560976,93.2,0.0912751677852349,SL,6.91503355704698,38.73106114831134
Aaron Loup,571901,967,L,FT,90.25987261146497,93.8,0.15305067218200621,CH,5.9942088934850055,46.80993399456136
Sam Long,669674,739,L,FF,94.26773162939297,97,0.5602165087956699,CH,6.0587280108254395,84.81821060944357
Tyler Anderson,542881,2576,L,FF,90.36942740286298,94.6,0.328804347826087,CH,6.095067961165048,72.25938660300409
Alex Wood,622072,2239,L,FT,92.21579980372914,94.9,0.5448861098704778,SL,6.218892362661903,64.767030785944
Justin Steele,657006,2032,L,FF,92.47575757575757,96.9,0.3553149606299213,SL,6.258218503937008,73.03955324155042
Ryan Yarbrough,642232,1355,L,CUT,82.47737226277373,85.9,0.5092250922509225,CB,6.392546125461255,59.259604924025396
Yusei Kikuchi,579328,1843,L,FF,95.51942060085837,98.8,0.4405860010851872,SL,6.843353228431905,72.40613157436975
Tyler Alexander,641302,1591,L,CUT,85.84840909090909,88.5,0.29352608422375864,CH,6.269201759899435,71.2954663632719
Austin Gomber,596295,2059,L,FF,91.50656324582339,95.7,0.5930063137445362,SL,6.513258863525984,74.9853551066185
Tanner Scott,656945,1273,L,FF,96.28485477178424,99.4,0.6213668499607227,SL,6.241856805664831,64.51794096994105
Daniel Castano,641447,577,L,CUT,86.1978813559322,90,0.4090121317157712,SL,6.0484375,71.4546338067624
Matt Moore,519043,1248,L,FF,93.29607843137255,96.5,0.5504807692307692,KC,6.169526864474739,77.61871041029657
Tarik Skubal,669373,1914,L,FF,93.84705882352941,99.8,0.522466039707419,SL,6.221003134796238,69.86191730608921
Cole Irvin,608344,2609,L,FF,90.77190082644628,95.3,0.391337677270985,CB,6.3730931391337675,76.30381547204637
Marco Gonzales,594835,2836,L,FF,88.68444444444444,91.6,0.43935119887165025,CH,6.392665726375176,68.15345983188887
Braxton Garrett,666129,1436,L,FF,91.49553072625699,94.4,0.5243732590529249,SL,6.4001392757660165,65.79397293340332
Andrew Heaney,571760,1230,L,FF,92.52340702210664,96.9,0.37479674796747964,SL,6.111056910569106,60.504259646837866
Patrick Corbin,571578,2623,L,FT,93.47361963190184,100.7,0.3774304231795654,SL,6.7581014105985515,71.27450911680846
Nick Vespi,663989,446,L,FF,87.73145539906103,91,0.5224215246636771,SL,5.762331838565022,69.16600873499371
David Price,456034,596,L,FF,91.61593625498008,95.8,0.1493288590604027,CH,5.986409395973155,67.50075904431029
Taylor Rogers,573124,1084,L,FT,93.22272727272727,97,0.5710332103321033,SL,5.671033210332103,72.65375445045667
Andrew Chafin,605177,899,L,FT,91.81331444759206,95.5,0.3225806451612903,SL,6.535483870967742,73.6995099081564
Brett Martin,656685,750,L,FT,93.66653992395437,95.9,0.5466666666666666,CB,6.481466666666667,75.49623489283455
Jake McGee,459429,629,L,FF,93.82936660268714,98.8,0.17170111287758347,SL,6.035294117647059,71.49057068397957
José Suarez,660761,1783,L,FF,92.20065573770492,95.3,0.5743129556926528,CH,6.108917554683118,65.84308547378492
Tyler Gilbert,656457,564,L,CUT,85.79795918367347,90.4,0.2429078014184397,SP,5.911170212765957,74.8305669016524
Angel Zerpa,672582,159,L,FF,92.7746835443038,93.9,0.4088050314465409,SL,5.531446540880503,67.11845936588814
